x1,y1,r1,x2,y2,r2,x3,y3,r3,x4,y4,r4,x5,y5,r5,x6,y6,r6,x7,y7,r7,class
252.0,190.5,26.0,249.337,160.276,28.0,251.113,139.596,30.0,255.5,130.0,36.0,269.5,143.0,54.0,300.87,220.358,115.0,345.246,360.037,141.0,4
272.0,156.5,29.0,267.889,125.426,30.0,262.76,99.0,34.0,257.5,84.631,40.0,249.189,92.312,53.0,240.544,216.481,148.0,225.004,371.076,114.0,5
266.0,193.5,23.0,258.0,165.5,27.0,251.0,144.5,28.0,240.5,136.0,31.0,227.136,140.391,38.0,206.331,179.722,59.0,176.832,303.468,92.0,3
270.222,179.0,28.0,275.0,153.654,31.0,277.5,132.0,34.0,286.784,124.216,38.0,306.5,147.5,61.0,355.5,241.0,129.0,399.0,384.0,106.0,4
286.0,174.0,32.0,296.0,145.0,34.0,309.0,115.0,37.0,334.0,97.5,43.0,376.0,97.0,57.0,468.5,152.0,103.0,601.943,312.5,75.0,2
265.5,212.5,23.0,262.0,205.5,25.0,249.0,175.0,29.0,235.0,146.5,32.0,215.169,118.984,35.0,179.534,100.267,43.0,110.5,99.0,56.0,1
271.0,205.0,26.0,272.0,185.0,29.0,277.0,177.0,31.0,285.5,181.0,37.0,302.476,220.458,62.0,312.062,320.148,107.0,352.0,444.5,47.0,4
271.0,185.0,29.0,271.14,157.601,29.0,271.669,140.685,31.0,275.802,138.385,36.0,286.074,166.647,56.0,305.728,269.474,117.0,322.0,412.0,69.0,4
261.0,193.0,28.0,265.0,163.0,30.0,272.0,140.0,33.0,290.0,128.0,39.0,319.048,134.262,55.0,420.5,211.0,141.0,542.0,350.5,99.0,2
264.0,160.5,28.0,257.5,128.0,30.0,245.0,98.5,32.0,230.049,73.404,36.0,205.68,62.51,46.0,164.914,73.672,63.0,43.091,272.728,63.0,1
269.0,213.5,21.0,263.192,191.5,26.0,263.709,183.5,28.0,268.316,189.684,34.0,283.5,230.0,58.0,297.658,327.802,96.0,306.5,460.5,19.0,4
271.0,220.0,24.0,267.5,212.5,25.0,259.0,186.0,28.0,251.5,175.5,30.0,239.068,179.824,37.0,221.932,221.87,59.0,198.0,319.5,95.0,3
279.0,180.413,25.0,273.0,150.0,30.0,268.223,118.538,31.0,262.643,94.987,35.0,254.752,83.19,42.0,237.249,98.143,60.0,211.386,240.565,157.0,5
282.0,215.0,21.0,277.0,196.5,28.0,265.0,164.0,31.0,249.0,140.5,33.0,228.5,122.5,39.0,187.548,121.304,51.0,110.5,154.5,73.0,1
272.0,166.929,28.0,274.535,133.376,33.0,283.354,102.675,35.0,294.5,73.0,42.0,316.945,52.063,54.0,368.83,57.928,87.0,503.406,225.372,204.0,2
260.0,185.5,27.0,256.5,154.549,28.0,255.107,131.875,30.0,253.127,119.574,35.0,251.7,127.349,46.0,236.0,208.0,108.0,251.5,362.0,135.0,5
275.0,223.0,18.0,268.0,202.0,25.0,266.0,183.367,30.0,261.0,174.0,34.0,255.432,180.454,41.0,238.28,229.929,78.0,239.0,363.61,126.0,3
274.5,199.5,26.0,271.732,166.082,28.0,274.0,137.0,32.0,280.0,112.5,36.0,292.5,101.0,43.0,317.857,124.193,71.0,458.755,250.202,217.0,5
266.0,217.482,19.0,259.0,188.0,29.0,251.5,165.0,29.0,244.758,145.758,32.0,231.525,141.633,38.0,210.5,156.18,56.0,169.5,272.5,128.0,3
279.0,201.0,20.0,260.5,161.5,29.0,253.849,133.479,30.0,243.018,111.147,35.0,228.0,101.5,44.0,200.196,116.451,67.0,113.672,258.712,161.0,5
277.5,205.5,20.0,267.5,190.0,27.0,255.5,156.5,29.0,237.0,131.5,31.0,211.0,109.0,36.0,168.0,96.0,45.0,91.5,103.0,47.0,1
268.746,200.746,20.0,263.5,173.5,29.0,265.853,148.147,30.0,276.745,132.349,34.0,296.2,142.598,48.0,336.158,188.516,89.0,410.018,316.849,141.0,2
266.5,214.5,19.0,257.0,188.0,29.0,252.5,167.122,27.0,249.5,162.0,30.0,245.148,171.723,39.0,232.0,238.5,85.0,233.691,369.417,118.0,3
283.0,218.5,20.0,275.793,215.748,23.0,280.896,194.045,27.0,290.812,189.591,29.0,304.0,203.5,40.0,326.0,243.0,62.0,368.0,365.5,126.0,4
269.0,212.5,20.0,259.0,193.0,28.0,248.5,179.5,29.0,236.5,180.0,34.0,215.672,197.762,45.0,184.5,285.5,88.0,101.0,402.5,19.0,3
268.5,199.0,21.0,266.0,191.5,23.0,257.5,155.0,31.0,242.5,127.0,30.0,229.0,97.5,35.0,204.162,71.475,42.0,148.718,56.322,57.0,1
262.0,173.5,29.0,261.257,147.0,29.0,261.0,123.5,33.0,261.711,111.667,39.0,266.062,123.807,53.0,300.089,251.936,162.0,294.5,388.386,121.0,5
258.867,180.5,30.0,262.78,146.626,31.0,266.833,113.833,34.0,284.5,89.5,40.0,310.849,70.726,53.0,373.707,67.293,82.0,587.019,293.156,71.0,2
265.245,219.245,19.0,253.5,191.0,28.0,246.0,173.5,29.0,238.0,163.5,33.0,222.5,168.5,41.0,200.367,229.732,78.0,167.0,321.0,88.0,3
259.5,219.5,21.0,255.0,195.607,26.0,258.401,182.067,29.0,264.5,186.0,34.0,280.0,211.0,51.0,307.483,284.138,85.0,343.0,407.5,83.0,4
268.033,198.033,21.0,268.0,206.0,19.0,250.5,169.5,30.0,235.283,145.283,29.0,215.5,122.5,34.0,181.714,111.5,40.0,119.0,123.0,57.0,1
268.0,206.0,19.0,261.793,200.748,23.0,260.0,177.0,27.0,262.227,165.807,31.0,268.5,169.5,37.0,288.5,210.5,69.0,328.073,344.005,148.0,4
250.0,183.5,21.0,252.099,161.186,28.0,259.241,135.759,30.0,273.0,114.5,35.0,298.473,105.829,42.0,346.0,127.5,71.0,496.0,257.0,190.0,2
246.5,160.0,27.0,242.873,132.722,27.0,238.194,109.734,30.0,233.5,95.33,35.0,226.736,95.461,43.0,212.293,139.71,74.0,211.997,295.463,119.0,5
266.0,205.0,18.0,253.5,180.0,25.0,248.371,161.224,27.0,242.788,153.085,29.0,236.755,157.855,35.0,230.676,192.764,52.0,234.755,307.733,102.0,3
260.0,142.5,29.0,259.0,110.952,30.0,259.437,83.834,34.0,261.671,66.331,42.0,267.138,65.36,55.0,298.171,222.624,195.0,330.351,341.202,126.0,5
255.5,195.5,26.0,253.727,175.273,26.0,256.13,166.87,29.0,261.0,170.0,35.0,275.28,199.136,54.0,277.0,292.5,96.0,297.211,420.093,63.0,4
258.0,198.5,24.0,247.0,166.0,29.0,235.0,135.5,31.0,220.5,110.5,32.0,198.5,83.5,38.0,152.325,68.418,49.0,76.5,72.5,46.0,1
260.509,174.326,27.0,256.529,144.0,31.0,255.5,117.0,34.0,255.057,94.512,42.0,255.059,87.251,56.0,269.5,261.0,218.0,294.0,351.0,93.0,5
263.0,185.0,26.0,269.488,158.512,30.0,289.327,134.791,33.0,315.5,114.5,40.0,365.5,113.0,54.0,450.0,141.5,75.0,630.0,261.5,17.0,2
246.5,187.0,24.0,236.5,151.0,27.0,226.747,119.747,25.0,212.001,86.023,29.0,191.375,60.625,34.0,157.077,44.66,43.0,90.5,36.5,56.0,1
259.0,199.0,23.0,247.5,171.5,27.0,240.778,153.778,27.0,230.798,145.949,32.0,218.092,147.608,39.0,194.691,188.495,63.0,169.0,310.0,84.0,3
247.0,185.0,27.0,244.0,153.889,28.0,247.5,127.5,31.0,249.991,98.91,35.0,259.77,84.23,43.0,284.01,91.422,62.0,422.437,239.695,230.0,5
243.0,179.581,26.0,244.0,157.0,29.0,246.5,138.5,31.0,251.05,133.5,35.0,264.424,154.767,55.0,314.0,243.5,124.0,340.5,386.139,110.0,4
253.5,178.5,28.0,243.5,153.0,28.0,230.5,127.5,29.0,210.376,109.738,34.0,179.215,102.866,41.0,118.5,114.5,59.0,8.5,230.0,16.0,1
265.0,238.0,18.0,252.5,205.0,25.0,243.567,196.963,25.0,235.5,198.0,28.0,220.0,213.5,35.0,191.5,268.5,60.0,171.5,334.5,47.0,3
253.0,176.5,28.0,247.5,143.5,27.0,240.0,116.5,27.0,224.778,84.778,27.0,206.16,56.84,33.0,174.734,34.616,42.0,113.904,22.91,55.0,1
238.577,157.269,26.0,233.24,136.798,26.0,228.265,120.265,28.0,221.415,115.5,32.0,211.0,126.5,42.0,199.0,199.5,82.0,190.023,322.22,91.0,3
247.5,181.0,26.0,247.118,160.1,26.0,247.5,144.85,27.0,247.742,138.226,30.0,249.075,145.935,35.0,260.128,187.716,60.0,250.0,329.811,130.0,4
255.0,178.5,25.0,257.4,167.5,25.0,263.0,163.895,28.0,272.783,172.783,35.0,287.5,218.5,59.0,332.573,309.825,101.0,362.0,447.0,37.0,4
255.0,178.0,23.0,253.0,159.369,26.0,253.194,140.607,27.0,255.909,129.091,31.0,260.893,131.5,35.0,284.0,164.0,63.0,330.0,322.0,167.0,4
246.0,180.0,27.0,238.367,161.123,26.0,231.075,147.023,28.0,219.673,144.5,31.0,202.0,160.5,42.0,179.5,236.5,76.0,150.5,338.5,63.0,3
261.0,149.0,28.0,270.5,126.0,28.0,285.0,107.5,32.0,307.784,103.5,37.0,347.435,119.129,53.0,417.5,211.5,110.0,536.5,324.5,86.0,2
263.5,198.0,20.0,256.0,185.693,25.0,261.753,162.247,30.0,277.636,145.098,35.0,309.0,138.5,44.0,372.0,158.5,74.0,512.0,270.5,159.0,2
246.5,194.5,19.0,236.5,164.295,26.0,239.5,137.37,28.0,250.0,115.0,33.0,266.369,98.587,41.0,310.5,107.5,65.0,473.0,223.5,208.0,2
255.0,221.0,19.0,240.0,204.081,27.0,230.684,187.52,28.0,219.0,180.73,33.0,200.0,192.0,46.0,179.0,276.5,92.0,133.0,366.0,18.0,3
246.5,163.5,28.0,252.0,137.5,28.0,257.769,109.231,32.0,270.233,91.114,39.0,294.981,85.264,53.0,362.812,126.046,105.0,503.0,275.0,168.0,2
266.752,157.842,29.0,266.0,132.5,31.0,268.438,110.706,36.0,273.976,100.345,48.0,294.0,163.0,112.0,359.872,298.677,214.0,287.5,472.5,19.0,5
242.663,169.724,28.0,242.0,139.0,30.0,246.0,111.5,35.0,250.428,94.566,41.0,264.059,97.5,55.0,327.5,222.0,175.0,374.544,355.673,154.0,5
241.0,193.648,26.0,237.807,166.355,28.0,234.0,145.978,31.0,229.923,134.431,36.0,221.0,139.5,47.0,211.704,216.8,106.0,216.5,361.359,122.0,5
250.0,204.5,21.0,248.5,212.5,19.0,238.5,192.5,26.0,224.5,165.5,29.0,201.5,150.0,31.0,168.073,139.117,36.0,108.306,146.597,48.0,1
254.0,197.5,26.0,256.0,175.0,26.0,259.5,158.5,29.0,269.938,154.355,31.0,289.0,164.5,44.0,320.0,214.5,74.0,370.0,331.5,119.0,4
248.5,167.221,26.0,248.0,139.5,28.0,248.465,112.535,30.0,249.0,95.0,34.0,253.793,92.805,41.0,274.708,130.475,72.0,325.5,299.5,190.0,4
234.0,215.0,18.0,224.0,198.0,27.0,210.194,169.823,26.0,190.571,154.5,29.0,165.923,145.724,33.0,123.5,154.0,44.0,22.0,268.0,44.0,1
250.0,194.0,26.0,241.0,162.5,27.0,228.0,134.5,27.0,215.5,107.0,30.0,194.233,85.538,38.0,157.5,81.515,50.0,92.0,95.5,58.0,1
244.868,143.796,26.0,246.0,115.5,29.0,248.0,91.5,33.0,253.481,83.482,39.0,269.022,94.777,53.0,339.719,223.503,164.0,378.5,357.5,68.0,5
248.059,197.059,23.0,235.0,179.5,26.0,224.0,159.5,26.0,208.5,147.5,29.0,187.0,148.0,35.0,149.0,172.0,49.0,50.0,315.0,78.0,1
239.5,201.5,20.0,239.5,206.5,19.0,235.5,165.5,29.0,251.0,138.5,30.0,273.84,108.828,39.0,316.0,80.5,52.0,394.5,73.0,64.0,2
218.254,180.746,21.0,201.895,185.895,23.0,211.729,165.271,29.0,227.988,148.384,34.0,255.294,147.897,44.0,321.953,175.802,81.0,480.5,274.0,161.0,2
218.0,168.5,25.0,213.5,136.5,27.0,209.968,108.558,29.0,207.5,85.5,35.0,208.471,73.402,44.0,215.053,95.484,67.0,296.59,287.523,221.0,5
235.0,145.0,26.0,237.236,116.755,28.0,247.191,100.27,31.0,262.403,94.224,37.0,296.0,111.0,57.0,371.0,232.0,143.0,468.385,336.285,69.0,4
